seed	variant	job_id	job_name	config	dependency
42	officialish_mlp	14008799	efm_cbramod_officialish_mlp_s42	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/cbramod_targeted_sweep/cbramod_officialish_mlp_seed42.yaml	none
42	officialish_linear	14008800	efm_cbramod_officialish_linear_s42	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/cbramod_targeted_sweep/cbramod_officialish_linear_seed42.yaml	none
43	officialish_mlp	14008801	efm_cbramod_officialish_mlp_s43	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/cbramod_targeted_sweep/cbramod_officialish_mlp_seed43.yaml	14008799:14008800
43	officialish_linear	14008802	efm_cbramod_officialish_linear_s43	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/cbramod_targeted_sweep/cbramod_officialish_linear_seed43.yaml	14008799:14008800
44	officialish_mlp	14008803	efm_cbramod_officialish_mlp_s44	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/cbramod_targeted_sweep/cbramod_officialish_mlp_seed44.yaml	14008801:14008802
44	officialish_linear	14008804	efm_cbramod_officialish_linear_s44	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/cbramod_targeted_sweep/cbramod_officialish_linear_seed44.yaml	14008801:14008802
45	officialish_mlp	14008805	efm_cbramod_officialish_mlp_s45	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/cbramod_targeted_sweep/cbramod_officialish_mlp_seed45.yaml	14008803:14008804
45	officialish_linear	14008806	efm_cbramod_officialish_linear_s45	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/cbramod_targeted_sweep/cbramod_officialish_linear_seed45.yaml	14008803:14008804
46	officialish_mlp	14008807	efm_cbramod_officialish_mlp_s46	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/cbramod_targeted_sweep/cbramod_officialish_mlp_seed46.yaml	14008805:14008806
46	officialish_linear	14008808	efm_cbramod_officialish_linear_s46	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/cbramod_targeted_sweep/cbramod_officialish_linear_seed46.yaml	14008805:14008806
