model,seed,jobid,slurm_out,final_epoch,final_test_bacc,best_test_epoch,best_test_bacc,best_eval_epoch,test_at_best_eval_bacc,test_at_best_eval_acc,test_at_best_eval_kappa,test_at_best_eval_f1
biot,42,13984502,results/eegfm_bench/slurm_logs/efm_biot_bcic2a_t2_s42_13984502.out,49,35.0,22,37.1,2,29.799999999999997,29.799999999999997,6.4,21.6
biot,43,13984505,results/eegfm_bench/slurm_logs/efm_biot_bcic2a_t2_s43_13984505.out,49,35.3,30,38.800000000000004,11,35.8,35.8,14.399999999999999,31.8
biot,44,13984508,results/eegfm_bench/slurm_logs/efm_biot_bcic2a_t2_s44_13984508.out,49,32.9,22,35.9,3,28.999999999999996,28.999999999999996,5.3,18.8
biot,45,13984511,results/eegfm_bench/slurm_logs/efm_biot_bcic2a_t2_s45_13984511.out,49,33.6,27,36.4,9,34.699999999999996,34.699999999999996,13.0,27.800000000000004
biot,46,13984514,results/eegfm_bench/slurm_logs/efm_biot_bcic2a_t2_s46_13984514.out,49,32.1,8,39.7,2,27.900000000000002,27.900000000000002,3.8,18.0
cbramod,42,13984503,results/eegfm_bench/slurm_logs/efm_cbramod_bcic2a_t2_s42_13984503.out,49,31.2,46,31.6,46,31.6,31.6,8.799999999999999,24.099999999999998
cbramod,43,13984506,results/eegfm_bench/slurm_logs/efm_cbramod_bcic2a_t2_s43_13984506.out,49,26.6,10,26.8,26,25.3,25.3,0.5,11.200000000000001
cbramod,44,13984509,results/eegfm_bench/slurm_logs/efm_cbramod_bcic2a_t2_s44_13984509.out,49,26.400000000000002,43,26.6,33,26.0,26.0,1.3,12.9
cbramod,45,13984512,results/eegfm_bench/slurm_logs/efm_cbramod_bcic2a_t2_s45_13984512.out,49,31.8,31,31.8,49,31.8,31.8,9.0,23.200000000000003
cbramod,46,13984515,results/eegfm_bench/slurm_logs/efm_cbramod_bcic2a_t2_s46_13984515.out,49,33.2,44,33.5,49,33.2,33.2,10.9,28.1
labram,42,13984504,results/eegfm_bench/slurm_logs/efm_labram_bcic2a_t2_s42_13984504.out,29,32.2,21,34.2,11,31.2,31.2,8.200000000000001,24.2
labram,43,13984507,results/eegfm_bench/slurm_logs/efm_labram_bcic2a_t2_s43_13984507.out,29,30.2,14,31.3,14,31.3,31.3,8.4,25.0
labram,44,13984510,results/eegfm_bench/slurm_logs/efm_labram_bcic2a_t2_s44_13984510.out,29,30.9,13,34.300000000000004,11,33.7,33.7,11.600000000000001,26.3
labram,45,13984513,results/eegfm_bench/slurm_logs/efm_labram_bcic2a_t2_s45_13984513.out,29,28.999999999999996,11,31.8,19,29.799999999999997,29.799999999999997,6.4,23.7
labram,46,13984516,results/eegfm_bench/slurm_logs/efm_labram_bcic2a_t2_s46_13984516.out,29,31.0,8,36.7,14,33.900000000000006,33.900000000000006,11.799999999999999,28.999999999999996
